"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Chemical Name","Code","Use","Value","CV (%)"
"53","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","119","17.5"
"54","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","18","26.9"
"55","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","11","(L)"
"56","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","14","(L)"
"57","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","3","(L)"
"58","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","45","(L)"
"59","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","50","(L)"
"60","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","8","(L)"
"61","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","3","29.4"
"62","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","4","33.8"
"63","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","1","93.3"
"64","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","16","25.8"
"65","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","24","15.8"
"66","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","9","38.0"
"67","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","116","33.4"
"68","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","128","33.0"
"69","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","12","42.1"
"70","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","71","36.0"
"71","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","80","35.7"
"72","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","24","34.2"
"73","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"74","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","138","(H)"
"75","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","35,019","32.5"
"76","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"77","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,699","31.0"
"78","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","370","31.6"
"79","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","8,154","68.4"
"80","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","46,093","21.8"
"81","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","46","45.6"
"82","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","165","91.9"
"83","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","35,457","32.1"
"84","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","676","42.5"
"85","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,736","30.8"
"86","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","409","31.8"
"87","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","8,323","65.6"
"88","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","46,813","21.9"
"89","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"90","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","27","23.5"
"91","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","438","6.4"
"92","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"93","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","38","83.7"
"94","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","40","52.1"
"95","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","169","(H)"
"96","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","720","50.2"
"97","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","189","39.6"
"98","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","74","98.6"
"99","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","114","34.3"
"100","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","36","43.5"
"101","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","47","27.1"
"102","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","52","29.4"
"103","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","114","63.8"
"104","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","626","26.9"
"105","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","212","42.6"
"106","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","76","93.5"
"107","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","114","34.3"
"108","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","36","43.5"
"109","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","47","27.1"
"110","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","52","29.4"
"111","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","114","63.8"
"112","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","651","27.8"
"113","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","0.1 TO 0.9 ACRES",NA,"AREA GROWN","32","92.0"
"114","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","1.0 TO 4.9 ACRES",NA,"AREA GROWN","22","39.5"
"115","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","100 OR MORE ACRES",NA,"AREA GROWN","10","47.4"
"116","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","15.0 TO 24.9 ACRES",NA,"AREA GROWN","1","(H)"
"117","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","25.0 TO 49.9 ACRES",NA,"AREA GROWN","3","83.7"
"118","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","5.0 TO 14.9 ACRES",NA,"AREA GROWN","9","68.3"
"119","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN","50.0 TO 99.9 ACRES",NA,"AREA GROWN","8","77.8"
"120","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","85","58.8"
"121","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","10","73.5"
"122","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","30","47.0"
"123","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","20","59.7"
"124","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","39","18.2"
"125","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","64","18.8"
"126","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,"NOT SPECIFIED","27","26.5"
